PLAYER,ROLE,STYLE,AGE
Rohit Sharma,Batsman,Right Handed,35
KL Rahul,Wicketkeeper,Right Handed,30
Cheteshwar Pujara,Batsman,Right Handed,35
Virat Kohli,Batsman,Right Handed,34
Suryakumar Yadav,Batsman,Right Handed,32
Srikar Bharat,Wicketkeeper,Right Handed,29
Ravindra Jadeja,All Rounder,Left Handed,34
Ravichandran Ashwin,All Rounder,Right Handed,36
Axar Patel,All Rounder,Left Handed,29
Mohammed Shami,Bowler,Right Arm ,32
Mohammed Siraj,Bowler,Right Arm ,29
Kuldeep Yadav,Bowler,Left Arm ,28
Shubman Gill,Batsman,Right Handed,23
Shreyas Iyer,Batsman,Right Handed,28
Ishan Kishan,Wicketkeeper,Left Handed,24
Umesh Yadav,Bowler,Right Arm ,35
Jaydev Unadkat,Bowler,Left Arm ,31
Hardik Pandya,All Rounder,Right Handed,29
Washington Sundar,All Rounder,Left Handed,23
Shardul Thakur,Bowler,Right Arm ,31
Yuzvendra Chahal,Bowler,Right Arm ,32
Umran Malik,Bowler,Right Arm ,23
